date,value1,value2,value3
2017-08-12T04:00:00,5.0,44.0,55.0
2017-08-12T05:00:00,14.0,81.0,108.0
2017-08-12T06:00:00,11.0,51.0,62.0
2017-08-12T07:00:00,5.0,59.0,65.0
2017-08-12T08:00:00,12.0,77.0,89.0
2017-08-12T09:00:00,14.0,58.0,70.0
2017-08-12T10:00:00,10.0,55.0,57.0
2017-08-12T11:00:00,10.0,43.0,73.0
2017-08-12T12:00:00,6.0,61.0,72.0
2017-08-12T13:00:00,8.0,94.0,100.0
2017-08-12T14:00:00,11.0,101.0,100.0
2017-08-12T15:00:00,16.0,71.0,107.0
2017-08-12T16:00:00,17.0,86.0,104.0
2017-08-12T17:00:00,14.0,73.0,107.0
2017-08-12T18:00:00,6.0,85.0,102.0
2017-08-12T19:00:00,11.0,76.0,86.0
2017-08-12T20:00:00,10.0,48.0,63.0
2017-08-12T21:00:00,3.0,31.0,47.0
2017-08-12T22:00:00,4.0,23.0,39.0
2017-08-12T23:00:00,5.0,30.0,32.0
2017-08-13T00:00:00,1.0,11.0,25.0
2017-08-13T01:00:00,2.0,16.0,18.0
2017-08-13T02:00:00,3.0,19.0,15.0
2017-08-13T03:00:00,3.0,25.0,21.0
2017-08-13T04:00:00,2.0,11.0,23.0
2017-08-13T05:00:00,1.0,13.0,21.0
2017-08-13T06:00:00,2.0,17.0,17.0
2017-08-13T07:00:00,2.0,21.0,21.0
2017-08-13T08:00:00,3.0,24.0,32.0
2017-08-13T09:00:00,2.0,15.0,25.0
2017-08-13T10:00:00,3.0,11.0,17.0
2017-08-13T11:00:00,,17.0,33.0
2017-08-13T12:00:00,10.0,18.0,15.0
2017-08-13T13:00:00,,28.0,26.0
2017-08-13T14:00:00,2.0,15.0,17.0
2017-08-13T15:00:00,5.0,38.0,21.0
2017-08-13T16:00:00,2.0,17.0,23.0
2017-08-13T17:00:00,3.0,17.0,22.0
2017-08-13T18:00:00,2.0,20.0,19.0
2017-08-13T19:00:00,,9.0,14.0
2017-08-13T20:00:00,1.0,7.0,12.0
2017-08-13T21:00:00,4.0,7.0,8.0
2017-08-13T22:00:00,,10.0,8.0
2017-08-13T23:00:00,1.0,4.0,4.0
2017-08-14T00:00:00,,7.0,4.0
2017-08-14T01:00:00,2.0,8.0,6.0
2017-08-14T02:00:00,2.0,2.0,4.0
2017-08-14T03:00:00,1.0,7.0,5.0
2017-08-14T04:00:00,,7.0,6.0
2017-08-14T05:00:00,1.0,6.0,2.0
2017-08-14T06:00:00,,3.0,11.0
2017-08-14T07:00:00,,3.0,8.0
2017-08-14T08:00:00,2.0,1.0,9.0
2017-08-14T09:00:00,2.0,10.0,11.0
2017-08-14T10:00:00,,8.0,7.0
2017-08-14T11:00:00,3.0,1.0,7.0
2017-08-14T12:00:00,1.0,2.0,7.0
2017-08-14T13:00:00,1.0,3.0,7.0
2017-08-14T14:00:00,1.0,4.0,7.0
2017-08-14T15:00:00,3.0,8.0,17.0
2017-08-14T16:00:00,1.0,5.0,8.0
2017-08-14T17:00:00,,1.0,9.0
2017-08-14T18:00:00,,6.0,9.0
2017-08-14T19:00:00,2.0,7.0,9.0
2017-08-14T20:00:00,2.0,8.0,4.0
2017-08-14T21:00:00,2.0,5.0,3.0
2017-08-14T22:00:00,,5.0,1.0
2017-08-14T23:00:00,,1.0,1.0
2017-08-15T00:00:00,,,2.0
2017-08-15T01:00:00,,2.0,
2017-08-15T02:00:00,1.0,2.0,1.0
2017-08-15T03:00:00,,3.0,1.0
2017-08-15T04:00:00,,,4.0
2017-08-15T05:00:00,,2.0,
2017-08-15T06:00:00,1.0,3.0,5.0
2017-08-15T07:00:00,,3.0,2.0
2017-08-15T08:00:00,,2.0,3.0
2017-08-15T09:00:00,1.0,2.0,
2017-08-15T10:00:00,1.0,,2.0
2017-08-15T11:00:00,,7.0,2.0
2017-08-15T12:00:00,,2.0,3.0
2017-08-15T13:00:00,,3.0,2.0
2017-08-15T14:00:00,1.0,3.0,3.0
2017-08-15T15:00:00,,1.0,3.0
2017-08-15T16:00:00,5.0,5.0,7.0
2017-08-15T17:00:00,,4.0,3.0
2017-08-15T18:00:00,,1.0,
2017-08-15T19:00:00,2.0,4.0,1.0
2017-08-15T20:00:00,,6.0,2.0
2017-08-15T22:00:00,,2.0,
2017-08-15T23:00:00,,1.0,2.0
2017-08-16T00:00:00,,3.0,
2017-08-16T01:00:00,,2.0,2.0
2017-08-16T02:00:00,1.0,1.0,
2017-08-16T03:00:00,,1.0,
2017-08-16T04:00:00,,,2.0
2017-08-16T05:00:00,,1.0,2.0
2017-08-16T06:00:00,,1.0,1.0
2017-08-16T07:00:00,1.0,1.0,1.0
2017-08-16T08:00:00,,3.0,2.0
2017-08-16T09:00:00,,,4.0
2017-08-16T10:00:00,,,1.0
2017-08-16T11:00:00,,1.0,
2017-08-16T12:00:00,,3.0,1.0
2017-08-16T13:00:00,,,1.0
2017-08-16T14:00:00,1.0,,2.0
2017-08-16T15:00:00,,1.0,
2017-08-16T16:00:00,,,1.0
2017-08-16T17:00:00,,2.0,4.0
2017-08-16T18:00:00,1.0,,1.0
2017-08-16T19:00:00,,1.0,
2017-08-16T20:00:00,1.0,1.0,
2017-08-16T21:00:00,,,1.0
2017-08-16T22:00:00,,1.0,2.0
2017-08-16T23:00:00,1.0,,
2017-08-17T00:00:00,,2.0,2.0
2017-08-17T02:00:00,,2.0,
2017-08-17T04:00:00,,1.0,1.0
2017-08-17T05:00:00,3.0,,
2017-08-17T06:00:00,,,1.0
2017-08-17T07:00:00,,1.0,1.0
2017-08-17T09:00:00,,,1.0
2017-08-17T10:00:00,,,1.0
2017-08-17T11:00:00,,4.0,3.0
2017-08-17T12:00:00,,1.0,
2017-08-17T13:00:00,,,1.0
2017-08-17T14:00:00,,1.0,1.0
2017-08-17T15:00:00,1.0,2.0,1.0
2017-08-17T17:00:00,,1.0,
2017-08-17T18:00:00,,,1.0
2017-08-17T19:00:00,,,1.0
2017-08-17T20:00:00,,2.0,3.0
2017-08-17T21:00:00,,,1.0
2017-08-17T22:00:00,,3.0,1.0
2017-08-17T23:00:00,,2.0,4.0
